Date,Open,High,Low,Close*,Adj Close**,Volume
,,,,,,
"Oct 01, 2020","3,385.87","3,549.85","3,268.89","3,271.03","3,271.03","79,994,080,000"
"Sep 01, 2020","3,507.44","3,588.11","3,209.45","3,363.00","3,363.00","92,084,120,000"
"Aug 01, 2020","3,288.26","3,514.77","3,284.53","3,500.31","3,500.31","84,402,300,000"
"Jul 01, 2020","3,105.92","3,279.99","3,101.17","3,271.12","3,271.12","97,197,020,000"
"Jun 01, 2020","3,038.78","3,233.13","2,965.66","3,100.29","3,100.29","131,044,000,000"
"May 01, 2020","2,869.09","3,068.67","2,766.64","3,044.31","3,044.31","106,799,100,000"
"Apr 01, 2020","2,498.08","2,954.86","2,447.49","2,912.43","2,912.43","123,163,450,000"
"Mar 01, 2020","2,974.28","3,136.72","2,191.86","2,584.59","2,584.59","161,801,100,000"
"Feb 01, 2020","3,235.66","3,393.52","2,855.84","2,954.22","2,954.22","84,292,270,000"
"Jan 01, 2020","3,244.67","3,337.77","3,214.64","3,225.52","3,225.52","77,104,420,000"
"Dec 01, 2019","3,143.85","3,247.93","3,070.33","3,230.78","3,230.78","72,054,000,000"
"Nov 01, 2019","3,050.72","3,154.26","3,050.72","3,140.98","3,140.98","72,179,920,000"
"Oct 01, 2019","2,983.69","3,050.10","2,855.94","3,037.56","3,037.56","77,564,550,000"
"Sep 01, 2019","2,909.01","3,021.99","2,891.85","2,976.74","2,976.74","73,992,330,000"
"Aug 01, 2019","2,980.32","3,013.59","2,822.12","2,926.46","2,926.46","79,599,440,000"
"Jul 01, 2019","2,971.41","3,027.98","2,952.22","2,980.38","2,980.38","70,349,470,000"
"Jun 01, 2019","2,751.53","2,964.15","2,728.81","2,941.76","2,941.76","70,881,390,000"
"May 01, 2019","2,952.33","2,954.13","2,750.52","2,752.06","2,752.06","76,860,120,000"
"Apr 01, 2019","2,848.63","2,949.52","2,848.63","2,945.83","2,945.83","69,604,840,000"
"Mar 01, 2019","2,798.22","2,860.31","2,722.27","2,834.40","2,834.40","78,596,280,000"
"Feb 01, 2019","2,702.32","2,813.49","2,681.83","2,784.49","2,784.49","70,183,430,000"
"Jan 01, 2019","2,476.96","2,708.95","2,443.96","2,704.10","2,704.10","80,401,630,000"
"Dec 01, 2018","2,790.50","2,800.18","2,346.58","2,506.85","2,506.85","83,522,570,000"
"Nov 01, 2018","2,717.58","2,815.15","2,631.09","2,760.17","2,760.17","80,080,110,000"
"Oct 01, 2018","2,926.29","2,939.86","2,603.54","2,711.74","2,711.74","91,327,930,000"
"Sep 01, 2018","2,896.96","2,940.91","2,864.12","2,913.98","2,913.98","62,492,080,000"
"Aug 01, 2018","2,821.17","2,916.50","2,796.34","2,901.52","2,901.52","69,238,220,000"
"Jul 01, 2018","2,704.95","2,848.03","2,698.95","2,816.29","2,816.29","64,542,170,000"
"Jun 01, 2018","2,718.70","2,791.47","2,691.99","2,718.37","2,718.37","77,439,710,000"
"May 01, 2018","2,642.96","2,742.24","2,594.62","2,705.27","2,705.27","75,617,280,000"
"Apr 01, 2018","2,633.45","2,717.49","2,553.80","2,648.05","2,648.05","69,648,590,000"
"Mar 01, 2018","2,715.22","2,801.90","2,585.89","2,640.87","2,640.87","76,369,800,000"
"Feb 01, 2018","2,816.45","2,835.96","2,532.69","2,713.83","2,713.83","79,579,410,000"
"Jan 01, 2018","2,683.73","2,872.87","2,682.36","2,823.81","2,823.81","76,860,120,000"
"Dec 01, 2017","2,645.10","2,694.97","2,605.52","2,673.61","2,673.61","65,251,190,000"
"Nov 01, 2017","2,583.21","2,657.74","2,557.45","2,584.84","2,584.84","95,142,800,000"
"Oct 01, 2017","2,521.20","2,582.98","2,520.40","2,575.26","2,575.26","70,871,570,000"
